id,addr,catfathername,catname,block,rootid,price_value,date,sq_price_value,area,winloss
640265,8/F Room 11,Kwun Tong,Wah Fat Building,,2,1975000,22/8/2018,0,,229
640264,TOWER 7 7/F Room G,Ho Man Tin,Mantin Heights,TOWER 7,2,31532400,22/8/2018,0,,
640263,BLOCK 6 3#/F Room F,Tai Kok Tsui,Metro Harbour View,BLOCK 6,2,7000000,22/8/2018,10144.93,690ft<sup>2</sup>,162
640262,BLOCK 2 3#/F Room E,Tai Kok Tsui,Metro Harbour View,BLOCK 2,2,5500000,22/8/2018,10912.7,504ft<sup>2</sup>,8
640261,B HONG WAH 7/F Room 7,Lam Tin,Hong Wah Court,B HONG WAH,2,5600000,22/8/2018,9739.13,575ft<sup>2</sup>,84
640260,TOWER 6 3#/F Room D,To Kwa Wan,Grand waterfront,TOWER 6,2,12200000,22/8/2018,14420.8,846ft<sup>2</sup>,77
640259,6/F Room A,Sham Shui Po,Wah Yan Mansion,,2,5100000,22/8/2018,0,,536
640258,BLOCK 2 7/F Room C,Ho Man Tin,Dragon View,BLOCK 2,2,11600000,22/8/2018,12608.7,920ft<sup>2</sup>,167
640257,BLOCK 2 1#/F Room F,Cheung Sha Wan,Lai Bo Garden,BLOCK 2,2,5130000,22/8/2018,8890.81,577ft<sup>2</sup>,185
640256,TOWER 1 7/F Room A,Kwun Tong,Yue Man Centre,TOWER 1,2,7438000,22/8/2018,11585.67,642ft<sup>2</sup>,148
640255,TOWER 5A 2#/F Room B,Wong Tai Sin,Lions Rise,TOWER 5A,2,11500000,22/8/2018,15582.66,738ft<sup>2</sup>,59
640254,TOWER 1 1#/F Room A,Olympic,Harbour Green,TOWER 1,2,30000000,22/8/2018,17016.45,1763ft<sup>2</sup>,44
640253,BLOCK 5 3/F Room H,Lam Tin,Sceneway Garden,BLOCK 5,2,8000000,22/8/2018,10217.11,783ft<sup>2</sup>,264
640252,TOWER 7 1#/F Room F,Lai Chi Kok,The Pacifica,TOWER 7,2,8780000,22/8/2018,13826.77,635ft<sup>2</sup>,42
640251,TOWER A 4#/F Room 3,Diamond Hill,Galaxia,TOWER A,2,1500000,22/8/2018,2286.59,656ft<sup>2</sup>,71
640250,TOWER 7 1#/F Room B,Ho Man Tin,The Zumurud,TOWER 7,2,45507000,22/8/2018,0,,2
640249,BLOCK 5 2#/F Room D,Lam Tin,Sceneway Garden,BLOCK 5,2,8550000,22/8/2018,12573.53,680ft<sup>2</sup>,31
640248,2#/F Room E,Kowloon City,Genius Court,,2,8600000,22/8/2018,12759.64,674ft<sup>2</sup>,133
640247,BLOCK 22 2#/F Room G,Kowloon Bay,Richland Gardens,BLOCK 22,2,5950000,22/8/2018,12659.57,470ft<sup>2</sup>,
640246,3#/F Room L,Tai Kok Tsui,Lime Stardom,,2,8000000,22/8/2018,16161.62,495ft<sup>2</sup>,112
640245,1#/F Room D,To Kwa Wan,Tak Wun Building,,2,4300000,22/8/2018,13870.97,310ft<sup>2</sup>,58
640244,2#/F Room A3,Ho Man Tin,Peace Building,,2,7000000,22/8/2018,0,,132
640243,5/F Room C,Kowloon Bay,Kim Wo Building,,2,2828000,22/8/2018,0,,
640242,8/F Room A,Ho Man Tin,Kerin Court,,2,17250000,22/8/2018,0,,393
640241,7/F Room 6,Kwun Tong,Hiu Ming Court,,2,4580000,22/8/2018,7145.09,641ft<sup>2</sup>,142
640240,TAI YAU BUILDINGBLOCK E 1#/F Room 8,Tai Kok Tsui,Cosmopolitan Estate,TAI YAU BUILDINGBLOCK E,2,4380000,22/8/2018,10554.22,415ft<sup>2</sup>,387
640239,ILFORD COURT 2#/F Room B,Ho Man Tin,Perth Garden,ILFORD COURT,2,18500000,22/8/2018,16299.56,1135ft<sup>2</sup>,38
640238,1#/F Room C,Tai Kok Tsui,Pak Sing Building,,2,5250000,22/8/2018,12650.6,415ft<sup>2</sup>,425
640237,2#/F Room A,Cheung Sha Wan,Yee King Court,,2,4550000,22/8/2018,10388.13,438ft<sup>2</sup>,87
640236,1#/F Room B,Wong Tai Sin,Fung Po Mansion,,2,4050000,22/8/2018,12017.8,337ft<sup>2</sup>,636
640235,TOWER 2 7/F Room H,Kwun Tong,Yue Man Centre,TOWER 2,2,6700000,22/8/2018,9795.32,684ft<sup>2</sup>,212
640234,6/F Room A,Jordan,Yen Kit Building,,2,4040000,22/8/2018,0,,
640233,8/F Room B,Hung Hom,8 Baker Court,,2,4670000,22/8/2018,12936.29,361ft<sup>2</sup>,103
640232,BLOCK B 2#/F Room 1,Kowloon Bay,On Kay Court,BLOCK B,2,7500000,22/8/2018,11432.93,656ft<sup>2</sup>,809
640231,4#/F Room E,Tai Kok Tsui,i-home,,2,8880000,22/8/2018,12471.91,712ft<sup>2</sup>,86
640230,TOWER 2 7/F Room E,Sham Shui Po,Trinity Towers,TOWER 2,2,11138000,22/8/2018,0,,68
640229,1#/F Room C,Tai Kok Tsui,Godfrey Centre,,2,3980000,22/8/2018,11024.93,361ft<sup>2</sup>,59
640228,2/F Room O,Tsim Sha Tsui,Universal Mansion,,2,6000000,22/8/2018,0,,300
640227,BLOCK A G/F Room 4,Kwun Tong,Shun Chi Court,BLOCK A,2,4690000,22/8/2018,0,,127
640226,2#/F Room F,Kwun Tong,Lai Yue Building,,2,4000000,22/8/2018,10256.41,390ft<sup>2</sup>,
640225,BLOCK 4 2#/F Room E,Ngau Chi Wan,Kingsford Terrace,BLOCK 4,2,5800000,22/8/2018,11507.94,504ft<sup>2</sup>,59
640224,1#/F Room B,Sham Shui Po,Wealth House,,2,4980000,22/8/2018,10969.16,454ft<sup>2</sup>,322
640223,TOWER 2 1#/F Room A,To Kwa Wan,Grand waterfront,TOWER 2,2,7450000,22/8/2018,14900,500ft<sup>2</sup>,178
640222,6/F Room K,Kwun Tong,Mascot Mansions,,2,6000000,22/8/2018,8000,750ft<sup>2</sup>,142
640221,TOWER 3 2#/F Room F,Kowloon Station,Sorrento,TOWER 3,2,29080000,22/8/2018,22718.75,1280ft<sup>2</sup>,289
640220,1#/F Room F,Tai Kok Tsui,Folkland Mansion,,2,6230000,22/8/2018,13283.58,469ft<sup>2</sup>,40
640219,1#/F Room B,Tai Kok Tsui,Li Tak Mansion,,2,3900000,22/8/2018,11142.86,350ft<sup>2</sup>,79
640218,BLOCK 4 2/F Room B,Wong Tai Sin,Tsui Chuk Garden,BLOCK 4,2,5100000,22/8/2018,9444.44,540ft<sup>2</sup>,180
640272,TOWER V 1#/F Room F,Kowloon Station,The Waterfront,TOWER V,2,30000000,22/8/2018,21961.93,1366ft<sup>2</sup>,190
640271,1#/F Room F,Tai Kok Tsui,Godfrey Centre,,2,2980000,22/8/2018,8254.85,361ft<sup>2</sup>,119
640270,TOWER 3 4#/F Room F,Olympic,Park Avenue,TOWER 3,2,10000000,22/8/2018,15503.88,645ft<sup>2</sup>,163
640269,BLOCK 2 2#/F Room C,Yau Ma Tei,King's Park Villa,BLOCK 2,2,2000000,22/8/2018,1803.43,1109ft<sup>2</sup>,78
640268,BLOCK Q 1#/F Room 10,Kowloon Bay,Telford Garden,BLOCK Q,2,8320000,22/8/2018,13797.68,603ft<sup>2</sup>,
640267,SITE 11 BLOCK 10 5/F Room D,Whampo,Whampoa Garden,BLOCK 10,2,1950000,22/8/2018,3266.33,597ft<sup>2</sup>,4
640266,4/F Room B,Mong Kok,SpringField Court,,2,2000000,22/8/2018,4301.08,465ft<sup>2</sup>,
640209,1/F Room 37,Jordan,Man Cheong Building,,2,6500000,21/8/2018,0,,55
640208,TOWER 7 3/F Room A,Ho Man Tin,Mantin Heights,TOWER 7,2,34821600,21/8/2018,0,,
640207,TOWER 7 9/F Room G,Ho Man Tin,Mantin Heights,TOWER 7,2,31936800,21/8/2018,0,,
640206,BLOCK H 1#/F Room H6,Kowloon Bay,Tak Bo Garden,BLOCK H,2,5180000,21/8/2018,13047.86,397ft<sup>2</sup>,162
640205,FU TUNG HOUSE 9/F Room 7,San Po Kong,Tung Tau (II) Estate,FU TUNG HOUSE,2,4850000,21/8/2018,0,,52
640204,BLOCK B 1#/F Room 2,Mei Foo,LaiChiKok Bay Garden,BLOCK B,2,6120000,21/8/2018,11814.67,518ft<sup>2</sup>,240
640203,TOWER 2B 3#/F Room D,San Po Kong,The Latitude,TOWER 2B,2,11380000,21/8/2018,16233.95,701ft<sup>2</sup>,77
640202,TOWER 3 3#/F Room D,Olympic,Island Harbourview,TOWER 3,2,15000000,21/8/2018,16163.79,928ft<sup>2</sup>,85
640201,BLOCK A 2#/F Room A2,Yau Ma Tei,Po Hang Building,BLOCK A,2,5080000,21/8/2018,11140.35,456ft<sup>2</sup>,105
640200,TOWER 1 4#/F Room H,Lai Chi Kok,Banyan Garden,TOWER 1,2,9500000,21/8/2018,13669.06,695ft<sup>2</sup>,63
640199,1#/F Room 4,Yau Ma Tei,Alhambra Building,,2,6900000,21/8/2018,0,,527
640198,9/F Room C,Tai Kok Tsui,Lime Stardom,,2,7200000,21/8/2018,14342.63,502ft<sup>2</sup>,106
640197,BLOCK B 1#/F Room 5,Kwun Tong,Hyde Tower,BLOCK B,2,6000000,21/8/2018,8534.85,703ft<sup>2</sup>,6
640196,BLOCK B 6/F Room 1,Kwun Tong,Shun Chi Court,BLOCK B,2,5000000,21/8/2018,7541.48,663ft<sup>2</sup>,
640195,NO.93 BROADWAY 1#/F Room D,Mei Foo,Mei Foo Sun Chuen,NO.93 BROADWAY,2,10600000,21/8/2018,11041.67,960ft<sup>2</sup>,115
640194,TOWER 1 6#/F Room H,To Kwa Wan,Grand waterfront,TOWER 1,2,8220000,21/8/2018,16309.52,504ft<sup>2</sup>,35
640193,BLOCK 5 1#/F Room D,Tai Kok Tsui,Metro Harbour View,BLOCK 5,2,7050000,21/8/2018,14128.26,499ft<sup>2</sup>,215
640192,TOWER 9 2#/F Room E,Olympic,The Long Beach,TOWER 9,2,12500000,21/8/2018,16711.23,748ft<sup>2</sup>,53
640191,5/F Room A,Prince Edward,Lee Shing Building,,2,4000000,21/8/2018,0,,
640190,BLOCK 3 1#/F Room D,Lam Tin,Sceneway Garden,BLOCK 3,2,6000000,21/8/2018,8823.53,680ft<sup>2</sup>,7
640189,1/F Room L,Lok Fu,Kam Kwok Building,,2,4280000,21/8/2018,0,,435
640188,2#/F Room E,Cheung Sha Wan,Peaceful Mansion,,2,5680000,21/8/2018,12401.75,458ft<sup>2</sup>,268
640187,1/F Room A,Tai Kok Tsui,King Tong Heights,,2,3600000,21/8/2018,8633.09,417ft<sup>2</sup>,
640186,BLOCK C 2#/F Room 6,Diamond Hill,Sun Lai Garden,BLOCK C,2,5445000,21/8/2018,12181.21,447ft<sup>2</sup>,172
640185,BLOCK C 3#/F Room 2,Kowloon Bay,Amoy Gardens,BLOCK C,2,6980000,21/8/2018,15108.23,462ft<sup>2</sup>,38
640184,8/F Room 14,Mong Kok,Sincere House,,2,7000000,21/8/2018,8187.13,855ft<sup>2</sup>,
640183,BLOCK U 2#/F Room 11,Kowloon Bay,Telford Garden,BLOCK U,2,7900000,21/8/2018,13389.83,590ft<sup>2</sup>,200
640182,BLOCK 2 2#/F Room K,Hung Hom,Royal Peninsula,BLOCK 2,2,22000000,21/8/2018,16117.22,1365ft<sup>2</sup>,289
640181,LAGUNA GRANDE TOWER 20 1#/F Room A,Hung Hom,Laguna Verde,TOWER 20,2,18100000,21/8/2018,15766.55,1148ft<sup>2</sup>,126
640180,BLOCK C 4/F Room 5,Kowloon Bay,Amoy Gardens,BLOCK C,2,5990000,21/8/2018,12965.37,462ft<sup>2</sup>,
640179,4/F Room B,Sham Shui Po,Sun Yee Mansion,,2,4800000,21/8/2018,10738.26,447ft<sup>2</sup>,122
640178,2/F Room 13,Lam Tin,Hong Ying Court,,2,5000000,21/8/2018,7776.05,643ft<sup>2</sup>,19
640177,BLOCK A 6/F Room 2,Ngau Tau Kok,Lok Nga Court,BLOCK A,2,3900000,21/8/2018,7456.98,523ft<sup>2</sup>,239
640176,BLOCK A 1#/F Room A6,Mong Kok,Yan On Building,BLOCK A,2,4500000,21/8/2018,4782.15,941ft<sup>2</sup>,39
640175,1/F Room G,Kowloon City,Man Yuen Building,,2,6950000,21/8/2018,0,,
640174,BLOCK 9 1#/F Room A,Lam Tin,Laguna City,BLOCK 9,2,10480000,21/8/2018,11244.64,932ft<sup>2</sup>,
640217,2#/F Room C,Cheung Sha Wan,Shining Court,,2,4000000,21/8/2018,9174.31,436ft<sup>2</sup>,176
640216,TOWER 2 1/F Room H,Ho Man Tin,Mantin Heights,TOWER 2,2,14000000,21/8/2018,0,,39
640215,6/F Room C1,Kowloon Tong,Faber Garden,,2,7800000,21/8/2018,14716.98,530ft<sup>2</sup>,92
640214,WO MUK 7/F Room 8,Cheung Sha Wan,Lei Cheng Uk Estate,WO MUK,2,840900,21/8/2018,0,,
640213,LE BILLIONNAIRE 1#/F Room E,Kowloon City,Le Billionnaire,,2,6000000,21/8/2018,8403.36,714ft<sup>2</sup>,46
640212,NO.66 BROADWAY 6/F Room B,Mei Foo,Mei Foo Sun Chuen,NO.66 BROADWAY,2,20000000,21/8/2018,11111.11,1800ft<sup>2</sup>,
640211,HOUSE 12 6/F Room 6,Shek Kip Mei,Dynasty Heights,HOUSE 12,2,45000000,21/8/2018,18610.42,2418ft<sup>2</sup>,73
640210,5/F Room 23,Tai Kok Tsui,Chung Wo Building,,2,3800000,21/8/2018,0,,
640166,TOWER 2 3#/F Room A,Tai Kok Tsui,Park Summit,TOWER 2,2,10000000,20/8/2018,14347.2,697ft<sup>2</sup>,43
640165,3#/F Room E,Sham Shui Po,HighPoint,,2,6500000,20/8/2018,14285.71,455ft<sup>2</sup>,27
640164,1/F Room 10,San Po Kong,Cheong Tai Building,,2,3880000,20/8/2018,0,,76
640163,2#/F Room G,Hung Hom,La Lumiere,,2,8780000,20/8/2018,0,,22
640162,BLOCK 2 4#/F Room F,Hung Hom,Royal Peninsula,BLOCK 2,2,13050000,20/8/2018,13765.82,948ft<sup>2</sup>,172
640161,TOWER 5 2#/F Room B,Olympic,Harbour Green,TOWER 5,2,10300000,20/8/2018,16693.68,617ft<sup>2</sup>,59
640160,1#/F Room 17,Tai Kok Tsui,Chung Hing Building,,2,4300000,20/8/2018,7478.26,575ft<sup>2</sup>,532
640159,BLOCK C 3/F Room 9,Yau Tong,Yau Chui Court,BLOCK C,2,6720000,20/8/2018,0,,218
640158,1#/F Room C,Ho Man Tin,Princess Court,,2,12000000,20/8/2018,0,,204
640157,BLOCK 1 3#/F Room D,Hung Hom,Royal Peninsula,BLOCK 1,2,21000000,20/8/2018,15885.02,1322ft<sup>2</sup>,216
640156,BLOCK D 2#/F Room 4,Yau Tong,Yau Chui Court,BLOCK D,2,6880000,20/8/2018,0,,208
640155,BLOCK 6 5/F Room C,Tai Kok Tsui,Metro Harbour View,BLOCK 6,2,9220000,20/8/2018,13362.32,690ft<sup>2</sup>,96
640154,2/F Room D4,Yau Yat Tsuen,Yau Yat Lau,,2,7410000,20/8/2018,0,,57
640153,7/F Room C,Sham Shui Po,Wah Tao Building,,2,3680000,20/8/2018,13479.85,273ft<sup>2</sup>,134
640152,BLOCK 6 3#/F Room C,Mei Foo,Manhattan Hill,BLOCK 6,2,12000000,20/8/2018,15831.13,758ft<sup>2</sup>,60
640151,TOWER 3 2#/F Room C,Olympic,The Hermitage,TOWER 3,2,1700000,20/8/2018,1691.54,1005ft<sup>2</sup>,82
640150,BLOCK 4 3#/F Room F,Tai Kok Tsui,Metro Harbour View,BLOCK 4,2,10800000,20/8/2018,13775.51,784ft<sup>2</sup>,285
